07/31/26 10:58:27,Start Time:,1785466707.7,Duration:,10,Time Precision:,4,Time Adjustment:,0,Target Size:,100

Time Offset,AVDD_I,AVDD_P,AVDD_V,CAM_AFVDD2_2V8_I,CAM_AFVDD2_2V8_P,CAM_AFVDD2_2V8_V,CH15_SPM_I,CH15_SPM_P,CH15_SPM_V,CH23_SPM_I,CH23_SPM_P,CH23_SPM_V,ELVDD_I,ELVDD_P,ELVDD_V,EMI_VDD1_DDR_I,EMI_VDD1_DDR_P,EMI_VDD1_DDR_V,EMI_VDD2H_DDR_I,EMI_VDD2H_DDR_P,EMI_VDD2H_DDR_V,EMI_VDD2L_DDR_I,EMI_VDD2L_DDR_P,EMI_VDD2L_DDR_V,EMI_VDDQ_DDR_I,EMI_VDDQ_DDR_P,EMI_VDDQ_DDR_V,FCAM_AVDD_2P8_I,FCAM_AVDD_2P8_P,FCAM_AVDD_2P8_V,FCAM_DVDD_1P05_I,FCAM_DVDD_1P05_P,FCAM_DVDD_1P05_V,FCAM_VCAMIO_I,FCAM_VCAMIO_P,FCAM_VCAMIO_V,MCAM_AVDD_2P8_I,MCAM_AVDD_2P8_P,MCAM_AVDD_2P8_V,MCAM_DVDD_1V1_I,MCAM_DVDD_1V1_P,MCAM_DVDD_1V1_V,OLED_DVDD_I,OLED_DVDD_P,OLED_DVDD_V,OLED_VCI_I,OLED_VCI_P,OLED_VCI_V,OLED_VDDI_I,OLED_VDDI_P,OLED_VDDI_V,SAR_VDD_1P8_I,SAR_VDD_1P8_P,SAR_VDD_1P8_V,System Messages,,TSP_IO_CON_I,TSP_IO_CON_P,TSP_IO_CON_V,UFS_VCC_2V5_UFS_I,UFS_VCC_2V5_UFS_P,UFS_VCC_2V5_UFS_V,VBB1_BOB_I,VBB1_BOB_P,VBB1_BOB_V,VCAMIO_I,VCAMIO_P,VCAMIO_V,VCAMIO_WIDE_I,VCAMIO_WIDE_P,VCAMIO_WIDE_V,VIO18_PMU_6319_I,VIO18_PMU_6319_P,VIO18_PMU_6319_V,VIO18_PMU_6685_I,VIO18_PMU_6685_P,VIO18_PMU_6685_V,VIO18_PMU_A_G_I,VIO18_PMU_A_G_P,VIO18_PMU_A_G_V,VIO18_PMU_FLICKER_I,VIO18_PMU_FLICKER_P,VIO18_PMU_FLICKER_V,VIO18_PMU_HAC_I,VIO18_PMU_HAC_P,VIO18_PMU_HAC_V,VIO18_PMU_M_I,VIO18_PMU_M_P,VIO18_PMU_M_V,VIO18_PMU_PL_I,VIO18_PMU_PL_P,VIO18_PMU_PL_V,VIO18_PMU_REV_I,VIO18_PMU_REV_P,VIO18_PMU_REV_V,VIO18_PMU_SPK_I,VIO18_PMU_SPK_P,VIO18_PMU_SPK_V,VLEDA_PL_I,VLEDA_PL_P,VLEDA_PL_V,VSYS_6685_I,VSYS_6685_P,VSYS_6685_V,VSYS_AVDD_I,VSYS_AVDD_P,VSYS_AVDD_V,VSYS_CHG_I,VSYS_CHG_P,VSYS_CHG_V,VSYS_DVE_I,VSYS_DVE_P,VSYS_DVE_V,VSYS_ELVDD_I,VSYS_ELVDD_P,VSYS_ELVDD_V,VSYS_FLASH_I,VSYS_FLASH_P,VSYS_FLASH_V,VSYS_HAC_I,VSYS_HAC_P,VSYS_HAC_V,VSYS_PVIN_I,VSYS_PVIN_P,VSYS_PVIN_V,VSYS_REV_I,VSYS_REV_P,VSYS_REV_V,VSYS_SPK_I,VSYS_SPK_P,VSYS_SPK_V,VSYS_VIB_I,VSYS_VIB_P,VSYS_VIB_V,VTP_PMU_I,VTP_PMU_P,VTP_PMU_V,VUFS12_PMU_I,VUFS12_PMU_P,VUFS12_PMU_V,WCAM_AVDD_2P8_I,WCAM_AVDD_2P8_P,WCAM_AVDD_2P8_V,WIDE_DVDD_1P2_I,WIDE_DVDD_1P2_P,WIDE_DVDD_1P2_V
2.748,14.905,110.215,7394.5,-0.0125,-0,0.875,0.0125,0,1.625,-0.0225,-0,1.25,8.065,37.096,4599.625,2.165,3.904,1803.25,9.45,9.9343,1051.25,3.15,2.9078,923.125,2,1.0097,504.875,-0.025,-0,1.75,-0.0025,-0,0.75,0.0125,0.0227,1819.625,0.0225,0,1.25,-0.25,-0.0003,1,52.54,68.2823,1299.625,0.0725,0.2151,2967,7.705,13.8546,1798.125,0.03,0.0545,1817.375,,,0.7025,1.2647,1800.25,0.0225,0.057,2532.125,12.6,44.2449,3511.5,0.0475,0.0864,1818.375,-0.0025,-0.0046,1821.125,10797.4,19041.2149,1763.5,2.2,4.0013,1818.75,0.19,0.3457,1819.625,0.0225,0.0409,1819.25,0.85,1.5463,1819.125,692.1725,1208.6197,1746.125,0.21,0.3817,1817.75,0.02,0.0364,1818.75,-0.2,-0.3637,1818.625,4.79,15.7669,3291.625,-0.05,-0.1974,3948.125,29.795,117.5562,3945.5,120.5,476.0503,3950.625,0.8825,3.4836,3947.375,10.8775,42.9362,3947.25,0.025,0.0988,3950.125,0.35,1.3823,3949.5,2.9875,11.7939,3947.75,-0.05,-0.1974,3948.75,0.5,1.9754,3950.75,0.09,0.3552,3946.25,0.1975,0.6522,3302.5,0.325,0.3904,1201.25,0.02,0,1.125,0.005,0,0.5
2.844,13.0475,,7394.375,0.0475,,1.5,-0.025,,2.625,-0.04,,1.625,8.0675,,4599.375,1.925,,1803.75,9.6375,,1054.5,2.05,,920.75,1.25,,503.375,-0.015,,0,-0.005,,1.125,0.035,,1822.75,0.0025,,1.125,0.9,,0.75,47.1525,,1296.625,0.0475,,2970.375,7.7175,,1798.875,0.0425,,1818.125,,,0.4625,,1801.5,0.1525,,2534.875,5.15,,3512.25,0.035,,1817.375,0.015,,1820.625,10798.55,,1764,2.75,,1820,0.1675,,1819.625,0.025,,1819.125,0.15,,1819.625,692.4925,,1747.625,0.1275,,1820.75,0.0325,,1821.375,0.5,,1819,0.03,,3301.375,1.5,,3952.125,25.815,,3950.25,108.25,,3954.125,0.82,,3952,10.7875,,3951.75,0.0475,,3949.625,-0.8,,3951.75,2.77,,3951.5,0.45,,3949,0.95,,3955.5,0.0675,,3948.375,0.215,,3303,0.2925,,1202.25,-0.025,,2.125,-0.015,,1.625
2.94,14.785,,7393.5,0.0175,,0.5,-0.0125,,1.125,-0.0075,,1.375,8.115,,4598.375,2.135,,1802.875,6.7775,,1052.5,3.3,,921,1.3,,504.75,-0.0125,,1.375,0.0025,,0.75,0.025,,1820.25,-0.01,,2.25,0.55,,1,52.84,,1300.625,0.0325,,2970.25,7.7,,1795.25,-0.0225,,1816.875,,,3.915,,1799.5,0.23,,2535,11.45,,3505.5,0.0775,,1819.125,0.04,,1821.875,10799,,1763.5,2.25,,1819.375,0.185,,1819,0.0275,,1817.75,0,,1820.625,692.5725,,1747.875,0.2075,,1819.875,0.0075,,1820,0.5,,1818.5,0.015,,3298.375,0.9,,3945.75,29.7225,,3943.5,134.25,,3946.25,0.895,,3945.25,10.68,,3943.125,0.0425,,3948.875,-0.2,,3945.125,2.8375,,3949.25,0.6,,3948.5,0.7,,3949.5,0.0725,,3947.5,4.23,,3300.375,0.295,,1200.625,-0.01,,1.625,-0.0275,,0.875
3.036,15.3875,113.7425,7391.875,-0.0125,-0,1.75,0.0025,0,1.625,-0.035,-0.0001,1.5,8.125,37.3577,4597.875,2.025,3.6516,1803.25,10.1125,10.6636,1054.5,3.2,2.946,920.625,1.15,0.5819,506,-0.02,-0,0.5,0.0225,0,1.375,0.0175,0.0319,1821.875,0.025,0,1.875,0.2,0.0004,2.25,52.605,68.4786,1301.75,0.0375,0.1113,2969,7.7775,13.9664,1795.75,-0.0075,-0.0136,1816.25,,,1.9825,3.5687,1800.125,0.0225,0.057,2533.5,4.9,17.2119,3512.625,0.03,0.0546,1818.5,0.005,0.0091,1821.125,10798.5,19041.8049,1763.375,1.9,3.4559,1818.875,0.1675,0.3045,1817.875,0,0,1817.75,0.55,1.002,1821.875,691.89,1207.521,1745.25,0.175,0.3185,1820.125,0.02,0.0364,1820.375,-0.9,-1.6358,1817.5,0.03,0.099,3300.625,0.45,1.7763,3947.375,29.235,115.3175,3944.5,114.95,453.9375,3949,0.875,3.4545,3948,10.7825,42.5464,3945.875,-0.02,-0.0789,3947.375,0,0,3946.25,2.8675,11.3223,3948.5,-0.35,-1.3817,3947.625,0.4,1.5794,3948.375,0.0775,0.306,3948.25,2.275,7.5157,3303.625,0.2775,0.3335,1201.75,-0.015,-0,1.125,0.0075,0,1
3.132,14.8375,109.6936,7393,-0.0025,-0,2.125,0.0075,0,2.25,-0.0075,-0,1.125,8.0575,37.0635,4599.875,2.1275,3.8369,1803.5,12.2375,12.9106,1055,4,3.682,920.5,1.15,0.5805,504.75,-0.02,-0,1.375,-0.0025,-0,2.25,-0,-0,1821.5,-0.02,-0,1.125,0.15,0,0.25,53.045,68.9055,1299,0.0775,0.2299,2966.875,7.695,13.8318,1797.5,0.0325,0.0591,1818.5,,,1.1725,2.1108,1800.25,-0.0875,-0.1195,1365.875,16.1,56.4587,3506.75,0,0,1818.75,0.01,0.0182,1820.5,10799.25,19032.3282,1762.375,1.8,3.2708,1817.125,0.19,0.3453,1817.375,0.005,0.0091,1815.375,-0.1,-0.1821,1820.625,693.4575,1211.3836,1746.875,0.1275,0.2321,1820.625,0.0225,0.041,1820.5,0.45,0.818,1817.875,0.05,0.1649,3298.75,1.6,6.3158,3947.375,30,118.2938,3943.125,130.8,516.3166,3947.375,0.925,3.6514,3947.5,10.905,43.0257,3945.5,0.0125,0.0493,3945.75,-0.2,-0.7895,3947.375,2.895,11.4255,3946.625,0.3,1.1843,3947.625,1.5,5.9216,3947.75,0.055,0.2169,3943.5,0.2175,0.7184,3303,0.34,0.4087,1202.125,-0.0375,-0.0001,1.5,-0.04,-0,0.875
3.228,15.19,112.2807,7391.75,-0.0125,-0,0.75,-0.045,-0.0001,1.5,-0.025,-0.0001,2,8.06,37.074,4599.75,2.11,3.8006,1801.25,9.635,10.1517,1053.625,3.95,3.6468,923.25,1.35,0.6811,504.5,-0.0075,-0,1.625,-0.0025,-0,1.25,0.0375,0.0683,1822.625,0.025,0,1.125,-0.25,-0.0003,1.25,49.8625,64.8399,1300.375,0.035,0.1038,2966.25,7.7675,13.9543,1796.5,0.0225,0.0409,1816,,,0.705,1.2706,1802.25,0.0275,0.0025,92.5,9.4,33.0034,3511,0.0425,0.0772,1817.5,0.04,0.0728,1820.25,10798.5,19043.1548,1763.5,2.6,4.7317,1819.875,0.2325,0.4231,1819.75,-0.035,-0.0636,1816.5,0.55,1.0013,1820.5,692.605,1210.6735,1748,0.1775,0.323,1819.875,0.0225,0.041,1820.5,-0.35,-0.6367,1819.125,0.0225,0.0742,3297.5,1.45,5.7255,3948.625,30.29,119.5319,3946.25,119.9,473.5451,3949.5,0.905,3.5738,3949,10.8275,42.7307,3946.5,0.0925,0.3653,3948.875,-0.3,-1.1847,3948.875,3.1975,12.6253,3948.5,0.7,2.7652,3950.25,0.55,2.172,3949,0.06,0.2369,3948.875,0.2425,0.8008,3302.375,0.38,0.4586,1206.75,0.0075,0,2.625,0.01,0,2.125
3.324,12.7425,94.2149,7393.75,-0.0375,-0.0001,2.375,-0.0125,-0,1.375,-0.0275,-0,1.375,8.0625,37.0774,4598.75,1.7425,3.1389,1801.375,6.4425,6.7904,1054,4.2,3.8645,920.125,1.5,0.7575,505,0.0025,0,0.25,-0.01,-0,0.5,0.03,0.0546,1821.375,-0.01,-0,1.25,0.6,0.0015,2.5,47.155,61.2131,1298.125,0.0325,0.0964,2967.5,6.8375,12.293,1797.875,0.035,0.0637,1818.75,,,0.7125,1.2823,1799.75,0,0,9,3.5,12.2846,3509.875,0.0225,0.0409,1817.375,-0.0225,-0.041,1820.375,10799.25,19026.9286,1761.875,2.15,3.9103,1818.75,0.175,0.3184,1819.375,0.045,0.0818,1816.875,0,0,1819.875,691.51,1208.5866,1747.75,0.1375,0.2505,1821.625,0.02,0.0364,1819.25,0.55,0.9996,1817.375,0.0325,0.1072,3299.75,0.65,2.5691,3952.5,25.1825,99.5024,3951.25,105.8,418.3729,3954.375,0.8825,3.4891,3953.625,10.87,42.9691,3953,-0.0225,-0.089,3954.25,0.2,0.7906,3953.125,2.685,10.6121,3952.375,0.95,3.7571,3954.875,1.05,4.1503,3952.625,0.0775,0.3062,3951.125,0.295,0.9739,3301.375,0.2675,0.3227,1206.375,-0.0175,-0,2,0.0375,0,0.5
3.42,14.8975,,7392.875,-0.03,,0.75,-0.015,,2.875,-0.0225,,2.375,8.03,,4600,1.9925,,1803.25,9.2175,,1055,1.9,,920.625,-0.05,,505.125,-0.0075,,2,0,,0.75,0.0275,,1819.75,-0.02,,0.75,0.7,,1.25,51.16,,1296.75,0.0575,,2967.125,7.725,,1797.625,0.0275,,1817.875,,,2.2,,1801.125,-0.0175,,2.125,5.15,,3509.125,0.01,,1816.625,0.045,,1821.75,10798.4,,1763.875,2.6,,1818.5,0.1925,,1818.75,0.0175,,1818.125,-0.85,,1822.625,692.8775,,1746.25,0.1625,,1820.25,0.01,,1818.625,-0.05,,1818.125,0.0225,,3295.625,0.5,,3945.75,29.9075,,3944.375,118.8,,3947.375,0.875,,3947.75,10.7575,,3944.625,0.03,,3951.125,-0.45,,3947.875,3.01,,3946.25,0.55,,3947,0.3,,3946.5,0.08,,3946.375,0.24,,3303.625,0.3075,,1204.875,0.0125,,1.375,0.0075,,1.375
3.516,14.8925,110.1133,7393.875,0.0175,0,1.25,-0.02,-0,0.75,-0.0125,-0,1.375,8.065,37.1101,4601.375,2.0225,3.6443,1801.875,7.35,7.7405,1053.125,3.4,3.1225,918.375,0.7,0.3539,505.625,-0.0325,-0,1.375,0.005,0,1.625,0.0175,0.0319,1822.25,-0.0225,-0,1.75,0.35,0.0004,1.25,57.8825,75.146,1298.25,0.1,0.2967,2967.125,7.5875,13.6234,1795.5,0.05,0.0909,1817,,,3.3025,5.9441,1799.875,0.02,0,1.875,4.6,16.1506,3511,0.0375,0.0682,1817.625,0.0525,0.0955,1818.125,10799.35,19040.604,1763.125,2.4,4.3665,1819.375,0.17,0.3092,1818.75,0.0075,0.0136,1817.125,0.75,1.3637,1818.25,692.1275,1209.7524,1747.875,0.2,0.3639,1819.375,-0.025,-0.0455,1820.5,-0.1,-0.1818,1818,0.0725,0.239,3296.75,1.45,5.7241,3947.625,29.765,117.4527,3946,114.75,453.3199,3950.5,0.9225,3.6408,3946.625,10.92,43.0958,3946.5,0.0825,0.3258,3949,-0.5,-1.9739,3947.75,2.99,11.8064,3948.625,-0.15,-0.5916,3943.75,1.1,4.3435,3948.625,0.1175,0.4635,3944.625,1.08,3.5687,3304.375,0.35,0.4223,1206.5,0.0175,0,1.375,-0.0125,-0,1.125
3.612,14.855,109.8769,7396.625,0.04,0,1.125,-0.04,-0.0001,1.875,-0.0475,-0,1,8.095,37.2249,4598.5,2.165,3.903,1802.75,9.69,10.2229,1055,3.6,3.3142,920.625,0.95,0.4794,504.625,0.005,0,1.375,-0.0125,-0,1.125,0.0375,0.0683,1821.625,-0.03,-0.0001,2,-0.3,-0.0004,1.25,52.815,68.5803,1298.5,0.08,0.2376,2969.5,7.74,13.9223,1798.75,0.015,0.0272,1815.375,,,1.35,2.4302,1800.125,0.0175,0,2,4.4,15.4528,3512,0.025,0.0455,1818.5,0.0275,0.0501,1820.375,10799.05,19036.0254,1762.75,2,3.6353,1817.625,0.22,0.4001,1818.625,0.02,0.0363,1816.375,0.35,0.6367,1819.25,692.4225,1211.6528,1749.875,0.11,0.2,1818.5,0.0175,0.0319,1821.125,0.1,0.1818,1817.875,0.0175,0.0577,3298.75,0.7,2.7637,3948.125,29.9275,118.1351,3947.375,116.15,458.778,3949.875,0.905,3.5743,3949.5,10.805,42.6622,3948.375,0.0725,0.2863,3949.625,-0.4,-1.5798,3949.375,3.02,11.9282,3949.75,0.1,0.3947,3946.625,0.65,2.5665,3948.5,0.0225,0.0889,3949.5,0.2525,0.8339,3302.5,0.285,0.3435,1205.125,-0.01,-0,1.75,-0.0025,-0,1.25
3.708,15.0525,111.3396,7396.75,0.0225,0,0.875,-0.0225,-0.0001,2.25,-0.05,-0.0001,1.375,8.0875,37.1894,4598.375,2.0475,3.6937,1804,8.525,8.9928,1054.875,2.45,2.254,920,1.35,0.6801,503.75,-0.0175,-0,1.75,0.0275,0,1.125,0,0,1821.375,0,0,1.625,-0.35,-0.0007,2.125,51.725,67.1067,1297.375,0.0675,0.2004,2968.875,8.4125,15.1036,1795.375,-0.025,-0.0454,1817.5,,,0.745,1.3423,1801.75,0.005,0,2,8.35,29.2908,3507.875,-0.0025,-0.0045,1818.625,0.0225,0.041,1820.125,10797.8,19033.8219,1762.75,2,3.6378,1818.875,0.205,0.373,1819.375,-0.0075,-0.0136,1815.75,-0.95,-1.7292,1820.25,691.64,1207.7763,1746.25,0.185,0.3365,1819,0.025,0.0455,1821.125,-0.4,-0.7276,1819,0.0575,0.1897,3298.875,0.2,0.7897,3948.75,31.15,122.9841,3948.125,119.7,473.0993,3952.375,0.87,3.4362,3949.625,10.845,42.85,3951.125,-0.0125,-0.0494,3949.875,-0.4,-1.5799,3949.75,2.5175,9.9473,3951.25,0,0,3954.5,-0.8,-3.1618,3952.25,0.0825,0.3258,3948.875,0.1625,0.5367,3302.75,0.3025,0.3645,1205,0.01,0,1.875,-0.0025,-0,2.25
3.804,12.5775,93.0216,7395.875,0.04,0,0.875,-0.0375,-0.0001,1.625,-0.0725,-0.0001,0.875,8.1075,37.2904,4599.5,1.665,3.0053,1805,7.745,8.169,1054.75,2.2,2.0301,922.75,0.95,0.4807,506,0.0225,0,0.75,0.0225,0,1.375,0,0,1820.75,-0.0175,-0,1.125,0.15,0.0001,0.75,46.0075,59.7005,1297.625,0.0775,0.23,2967.75,6.88,12.3659,1797.375,0.03,0.0546,1818.5,,,0.755,1.3597,1800.875,0,0,3.125,4.55,15.962,3508.125,0.0175,0.0318,1816.875,0.005,0.0091,1820.5,10798.4,19051.0772,1764.25,0.95,1.7278,1818.75,0.205,0.3734,1821.625,0.0425,0.0773,1818.375,0.2,0.3642,1820.75,692.13,1210.4489,1748.875,0.1725,0.3133,1816,0.0175,0.0318,1819,0.05,0.091,1819.125,0.065,0.2143,3297.25,1.45,5.7302,3951.875,25.2975,99.9757,3952,109.45,432.2728,3949.5,0.88,3.4771,3951.25,11,43.4693,3951.75,0.025,0.0988,3951.625,-0.1,-0.395,3950.375,3.2725,12.9313,3951.5,0.35,1.3837,3953.5,0.35,1.3833,3952.375,0.04,0.158,3950.625,0.2775,0.9169,3304.125,0.3175,0.3825,1204.75,0,0,2.125,-0.005,-0,0.875
3.9,15.725,,7394.5,0.03,,1.125,-0.0225,,0.5,-0.02,,2.875,8.0575,,4599.625,2.0725,,1804.25,7.2025,,1055.75,3.1,,919.75,1.7,,506.875,0.0125,,1.875,-0.035,,1.25,-0.0125,,1821.125,-0.03,,2,0.15,,1.25,51.0875,,1298.75,0.06,,2967.25,7.735,,1796.75,0.01,,1816.625,,,3.4025,,1799.5,0.0175,,0.5,5.9,,3508.75,0.025,,1818.375,-0.0425,,1821,10798.6,,1762.25,2.65,,1818,0.1675,,1819.75,0.005,,1817,0.4,,1821.25,692.4425,,1747.375,0.1,,1819.5,-0.025,,1825.125,0.6,,1818.75,0.01,,3290.75,0.6,,3948.375,33.1425,,3947.125,114.8,,3950.875,0.8575,,3949.375,10.7825,,3947.125,0.02,,3946.5,-0.15,,3949.125,2.58,,3948.75,0.15,,3943.75,0.5,,3950.125,0.0175,,3946.75,0.28,,3301.25,0.3575,,1206,0.0175,,2,0.0225,,1.125
3.996,14.685,,7394.125,0.0225,,0.5,0,,3,-0.0375,,1.25,7.995,,4599.625,1.9575,,1803,8.2325,,1053.625,3.65,,919.75,0.7,,503.75,-0.02,,1.375,0.005,,1.25,0.0025,,1821,-0.0475,,1.375,-0.15,,2.625,54.935,,1300.75,0.075,,2967.5,7.7375,,1796.25,-0.0025,,1819.125,,,3.18,,1799,0.015,,1.75,4.55,,3510.5,0.01,,1818.375,0.035,,1821,10798.85,,1763.25,2.85,,1818.625,0.21,,1818.5,0.0175,,1819.25,0,,1819.375,692.305,,1746.875,0.2,,1821.125,0.015,,1821.25,0.2,,1818.75,-0.0175,,3298.125,0.45,,3948.125,29.4925,,3945.75,115.5,,3949.25,0.8475,,3948.25,10.855,,3947.75,0.0125,,3950.875,0,,3947,2.67,,3947.625,0.15,,3943.625,0.5,,3948.25,0.04,,3945,2.795,,3302.75,0.3,,1205.625,-0.005,,1.75,-0.01,,0.875
4.092,14.81,109.5162,7394.75,-0.0325,-0,0.5,-0.0125,-0,1.5,0.025,0,0.75,8.085,37.1708,4597.5,1.9725,3.5522,1800.875,7.7,8.1206,1054.625,2.5,2.2988,919.5,0.75,0.3802,506.875,-0.045,-0.0001,2.375,-0.02,-0,0.875,-0.015,-0.0273,1821.75,-0.02,-0,1.25,0.5,0.0008,1.5,52.245,67.8009,1297.75,0.085,0.2524,2969.625,7.75,13.9238,1796.625,-0.005,-0.0091,1816.75,,,0.76,1.3695,1802,-0.01,-0,0.75,4.8,16.8558,3511.625,0.03,0.0545,1818.125,0.0275,0.0501,1821.625,10798.95,19023.7003,1761.625,2.1,3.8186,1818.375,0.2,0.3639,1819.25,0.07,0.1272,1817.25,0.1,0.1819,1819.25,691.3625,1208.3288,1747.75,0.165,0.3005,1821.25,0.03,0.0546,1819.375,0.2,0.364,1820,0.0625,0.2061,3298.375,1.4,5.5288,3949.125,30.6675,121.1213,3949.5,114.8,453.6896,3952,0.8675,3.4267,3950.125,10.8325,42.7748,3948.75,0.0025,0.0099,3948,-0.05,-0.1975,3949.5,2.87,11.3379,3950.5,-0.1,-0.3951,3951.375,0.25,0.9878,3951.25,0.05,0.1974,3947,0.2175,0.7183,3302.75,0.375,0.4523,1206.125,-0.005,-0,3.625,0.0125,0,1.375
4.188,15.0525,111.3132,7395,-0.025,-0,1.125,-0.025,-0.0001,2.875,-0.0175,-0,2.25,8.0475,36.9923,4596.75,1.9225,3.4603,1799.875,9.085,9.5745,1053.875,3.85,3.5574,924,1.4,0.7084,506,-0.0125,-0,1.125,-0.015,-0,0.75,0.0275,0.0501,1820.875,0.015,0,0.25,-0.1,-0.0003,2.5,56.4675,73.2736,1297.625,0.0925,0.2746,2968.125,8.3075,14.9275,1796.875,0.02,0.0364,1817.75,,,0.6825,1.2292,1801,-0.01,-0,0.75,6.95,24.3771,3507.5,0.0875,0.159,1816.75,0.0225,0.041,1821.75,10798.3,19038.7527,1763.125,2,3.6357,1817.875,0.1825,0.3318,1818,0.01,0.0182,1817.25,-0.4,-0.7282,1820.5,691.31,1207.4593,1746.625,0.1575,0.2864,1818.375,0.0325,0.0591,1817.875,0.05,0.0909,1817.875,0.06,0.198,3300.375,1.95,7.7037,3950.625,29.645,117.0533,3948.5,111.8,441.624,3950.125,0.8425,3.3273,3949.375,10.7975,42.6353,3948.625,0.045,0.1776,3947.375,-0.45,-1.7771,3949,3.1175,12.3149,3950.25,0.9,3.5551,3950.125,0.7,2.7653,3950.375,0.0875,0.3452,3945.25,0.2025,0.6691,3304.25,0.33,0.3974,1204.375,0.02,0,1.375,0.0125,0,1.25
4.284,12.62,93.3249,7395,0.0025,0,1.125,-0.02,-0,1.125,-0.0275,-0.0001,2,8.135,37.3976,4597.125,1.695,3.055,1802.375,7.1475,7.5397,1054.875,2,1.8433,921.625,0.9,0.4548,505.375,-0.0125,-0,1.625,0,0,2.25,0.0275,0.0501,1820.875,0,0,1.375,-0.05,-0.0001,1.75,46.485,60.4014,1299.375,0.065,0.1928,2966.125,6.9275,12.4513,1797.375,0.0275,0.05,1817.75,,,1.46,2.6287,1800.5,0.0075,0,2.5,3.85,13.5178,3511.125,0.05,0.0909,1818.875,0.0475,0.0865,1821,10799.2,19038.9896,1763,1.45,2.639,1820,0.18,0.3274,1819,0.035,0.0636,1817.125,-0.3,-0.5462,1820.625,691.6975,1209.0872,1748,0.2225,0.4056,1822.875,-0.02,-0.0364,1818.25,0.1,0.1818,1818.125,0.0275,0.0906,3294.625,1,3.9497,3949.75,25.51,100.7294,3948.625,116.45,460.0066,3950.25,0.8425,3.329,3951.375,11.0025,43.453,3949.375,0.0475,0.1878,3952.75,-0.25,-0.9875,3949.875,2.7175,10.7379,3951.375,0.2,0.79,3949.75,0.05,0.1975,3950.875,0.125,0.4938,3950.125,0.265,0.875,3301.75,0.3325,0.4005,1204.5,0.0125,0,0.5,-0.04,-0,0.875
4.38,17.01,125.7826,7394.625,-0.03,-0,1.625,0,0,0.875,-0.0575,-0.0001,2.25,8.0475,36.9903,4596.5,2.07,3.7312,1802.5,8.5325,8.9922,1053.875,3.05,2.8174,923.75,1.35,0.6833,506.125,0.0075,0,1.125,-0.02,-0,1.875,0.015,0.0273,1821.125,0.0075,0,1.375,0.45,0.0004,1,56.1675,72.9616,1299,0.06,0.1781,2967.75,8.0475,14.4724,1798.375,0.015,0.0273,1818.5,,,3.6575,6.5876,1801.125,0.0275,0,1.375,6.3,22.1028,3508.375,0.05,0.091,1819.375,0.0225,0.041,1820.625,10797.6,19026.7209,1762.125,1.8,3.2753,1819.625,0.22,0.4002,1819.125,0.0425,0.0772,1816.25,-0.75,-1.3657,1820.875,691.46,1207.8942,1746.875,0.095,0.1728,1818.75,-0.0325,-0.0592,1820.875,0.1,0.182,1819.625,0.025,0.0825,3299.125,0.95,3.752,3949.5,31,122.3415,3946.5,108.15,427.1519,3949.625,0.8425,3.327,3949,10.7025,42.2481,3947.5,0,0,3949.125,-0.5,-1.9749,3949.75,3.01,11.8865,3949,0,0,3947.375,0.55,2.1737,3952.125,0.05,0.1974,3947.5,8.1875,27.0341,3301.875,0.32,0.3859,1206,0.025,0.0001,3.125,-0.0075,-0,1
4.476,14.72,,7393.5,0.01,,1.5,0.0025,,2.375,-0.035,,1.25,8.09,,4598.625,2.0175,,1801.375,7.555,,1054.625,3.8,,921.25,1.2,,506.25,-0.0125,,1.25,0,,1.375,0.0075,,1821.375,0.0175,,0.75,0,,1.125,53.84,,1298.125,0.0475,,2968.875,7.7625,,1797.25,0.0325,,1817.75,,,2.3925,,1801,-0.02,,1,4.9,,3509.625,0.0175,,1818.125,0.015,,1821.625,10799.15,,1765,1.65,,1818,0.16,,1818.625,0.035,,1815.25,-0.25,,1821.125,690.9675,,1748.375,0.1825,,1817.375,0.0075,,1821.125,0.7,,1817.625,0.0275,,3296.125,0.5,,3946.375,29.5925,,3946.5,123.25,,3950.375,0.8425,,3948.25,10.8325,,3945.875,0.0175,,3947.625,0.5,,3947,2.76,,3949.125,0.35,,3945.25,0.45,,3947.875,0.0375,,3947.125,0.19,,3301.5,0.305,,1207,-0.0025,,1.375,0.025,,1
