USER           PID   TID  PPID        VSZ    RSS WCHAN            ADDR S CMD            
root           485   485     2          0      0 rescuer_thread      0 I ccmni6_rx_q_wor
root           486   486     2          0      0 rescuer_thread      0 I ccmni7_rx_q_wor
root           487   487     2          0      0 rescuer_thread      0 I ccmni8_rx_q_wor
root           488   488     2          0      0 rescuer_thread      0 I ccmni9_rx_q_wor
root           489   489     2          0      0 rescuer_thread      0 I ccmni10_rx_q_wo
root           490   490     2          0      0 rescuer_thread      0 I ccmni11_rx_q_wo
root           491   491     2          0      0 rescuer_thread      0 I ccmni12_rx_q_wo
root           493   493     2          0      0 rescuer_thread      0 I ccmni13_rx_q_wo
root           494   494     2          0      0 rescuer_thread      0 I ccmni14_rx_q_wo
root           497   497     2          0      0 rescuer_thread      0 I ccmni15_rx_q_wo
root           498   498     2          0      0 rescuer_thread      0 I ccmni16_rx_q_wo
root           500   500     2          0      0 rescuer_thread      0 I ccmni17_rx_q_wo
root           501   501     2          0      0 rescuer_thread      0 I ccmni18_rx_q_wo
root           502   502     2          0      0 rescuer_thread      0 I ccmni19_rx_q_wo
root           503   503     2          0      0 rescuer_thread      0 I ccmni20_rx_q_wo
root           504   504     2          0      0 port_kthread_handler 0 S ccci_rpc_k
root           505   505     2          0      0 port_kthread_handler 0 S ccci_udc
root           506   506     2          0      0 port_ipc_kernel_thread 0 S ccci_ipc_3
root           507   507     2          0      0 port_ipc_kernel_thread 0 S ccci_ipc_6
root           508   508     2          0      0 port_ipc_kernel_thread 0 S ccci_ipc_7
root           509   509     2          0      0 port_ipc_kernel_thread 0 S ccci_ipc_8
root           510   510     2          0      0 port_kthread_handler 0 S ccci_sys
root           511   511     2          0      0 port_kthread_handler 0 S ccci_ctrl
root           516   516     2          0      0 rescuer_thread      0 I SCP_WQ
root           517   517     2          0      0 rescuer_thread      0 I SCP_LOG_WQ
root           518   518     2          0      0 rescuer_thread      0 I SCP_RESET_WQ
root           519   519     2          0      0 rescuer_thread      0 I SCP_THERMAL_WQ
root           521   521     2          0      0 speed_calculate_in_thread 0 S ccci_spd
root           523   523     2          0      0 rescuer_thread      0 I uether
root           524   524     2          0      0 rescuer_thread      0 I uether_rx1
root           525   525     2          0      0 rescuer_thread      0 I uether_rps
root           526   526     2          0      0 bp_notify_handler   0 S bp_notify_thread
root           529   529     2          0      0 rescuer_thread      0 I SSPM_WQ
root           530   530     2          0      0 rescuer_thread      0 I sspm_ts_wq
root           572   572     2          0      0 btif_rx_thread      0 S btif_rxd
root           576   576     2          0      0 rescuer_thread      0 I delay_init
root           577   577     2          0      0 rescuer_thread      0 I accdet
